fpl_id,understat_id,h_fpl,a_fpl,h_understat,a_understat
111,28889,Arsenal,Spurs,Arsenal,Tottenham
118,28895,Man Utd,Everton,Manchester United,Everton
122,28899,Brentford,Burnley,Brentford,Burnley
126,28903,Man City,Leeds,Manchester City,Leeds
128,28905,Sunderland,Bournemouth,Sunderland,Bournemouth
125,28902,Everton,Newcastle,Everton,Newcastle United
129,28906,Spurs,Fulham,Tottenham,Fulham
124,28901,Crystal Palace,Man Utd,Crystal Palace,Manchester United
121,28898,Aston Villa,Wolves,Aston Villa,Wolverhampton Wanderers
127,28904,Nott'm Forest,Brighton,Nottingham Forest,Brighton
130,28907,West Ham,Liverpool,West Ham,Liverpool
123,28900,Chelsea,Arsenal,Chelsea,Arsenal
131,28909,Arsenal,Brentford,Arsenal,Brentford
132,28908,Bournemouth,Everton,Bournemouth,Everton
133,28910,Brighton,Aston Villa,Brighton,Aston Villa
134,28911,Burnley,Crystal Palace,Burnley,Crystal Palace
135,28912,Fulham,Man City,Fulham,Manchester City
136,28913,Leeds,Chelsea,Leeds,Chelsea
137,28914,Liverpool,Sunderland,Liverpool,Sunderland
138,28915,Man Utd,West Ham,Manchester United,West Ham
139,28916,Newcastle,Spurs,Newcastle United,Tottenham
140,28917,Wolves,Nott'm Forest,Wolverhampton Wanderers,Nottingham Forest
141,28919,Aston Villa,Arsenal,Aston Villa,Arsenal
142,28918,Bournemouth,Chelsea,Bournemouth,Chelsea
143,28920,Brighton,West Ham,Brighton,West Ham
144,28921,Everton,Nott'm Forest,Everton,Nottingham Forest
145,28922,Fulham,Crystal Palace,Fulham,Crystal Palace
146,28923,Leeds,Liverpool,Leeds,Liverpool
147,28924,Man City,Sunderland,Manchester City,Sunderland
148,28925,Newcastle,Burnley,Newcastle United,Burnley
149,28926,Spurs,Brentford,Tottenham,Brentford
150,28927,Wolves,Man Utd,Wolverhampton Wanderers,Manchester United
151,28928,Arsenal,Wolves,Arsenal,Wolverhampton Wanderers
152,28929,Brentford,Leeds,Brentford,Leeds
153,28930,Burnley,Fulham,Burnley,Fulham
154,28931,Chelsea,Everton,Chelsea,Everton
155,28932,Crystal Palace,Man City,Crystal Palace,Manchester City
156,28933,Liverpool,Brighton,Liverpool,Brighton
157,28934,Man Utd,Bournemouth,Manchester United,Bournemouth
158,28935,Nott'm Forest,Spurs,Nottingham Forest,Tottenham
159,28936,Sunderland,Newcastle,Sunderland,Newcastle United
160,28937,West Ham,Aston Villa,West Ham,Aston Villa
161,28939,Aston Villa,Man Utd,Aston Villa,Manchester United
162,28938,Bournemouth,Burnley,Bournemouth,Burnley
163,28940,Brighton,Sunderland,Brighton,Sunderland
164,28941,Everton,Arsenal,Everton,Arsenal
165,28942,Fulham,Nott'm Forest,Fulham,Nottingham Forest
166,28943,Leeds,Crystal Palace,Leeds,Crystal Palace
167,28944,Man City,West Ham,Manchester City,West Ham
168,28945,Newcastle,Chelsea,Newcastle United,Chelsea
169,28946,Spurs,Liverpool,Tottenham,Liverpool
170,28947,Wolves,Brentford,Wolverhampton Wanderers,Brentford
171,28948,Arsenal,Brighton,Arsenal,Brighton
172,28949,Brentford,Bournemouth,Brentford,Bournemouth
173,28950,Burnley,Everton,Burnley,Everton
174,28951,Chelsea,Aston Villa,Chelsea,Aston Villa
175,28952,Crystal Palace,Spurs,Crystal Palace,Tottenham
176,28953,Liverpool,Wolves,Liverpool,Wolverhampton Wanderers
177,28954,Man Utd,Newcastle,Manchester United,Newcastle United
178,28955,Nott'm Forest,Man City,Nottingham Forest,Manchester City
179,28956,Sunderland,Leeds,Sunderland,Leeds
180,28957,West Ham,Fulham,West Ham,Fulham
181,28958,Arsenal,Aston Villa,Arsenal,Aston Villa
182,28959,Brentford,Spurs,Brentford,Tottenham
183,28960,Burnley,Newcastle,Burnley,Newcastle United
184,28961,Chelsea,Bournemouth,Chelsea,Bournemouth
185,28962,Crystal Palace,Fulham,Crystal Palace,Fulham
186,28963,Liverpool,Leeds,Liverpool,Leeds
187,28964,Man Utd,Wolves,Manchester United,Wolverhampton Wanderers
188,28965,Nott'm Forest,Everton,Nottingham Forest,Everton
189,28966,Sunderland,Man City,Sunderland,Manchester City
190,28967,West Ham,Brighton,West Ham,Brighton
191,28972,Aston Villa,Nott'm Forest,Aston Villa,Nottingham Forest
192,28971,Bournemouth,Arsenal,Bournemouth,Arsenal
193,28973,Brighton,Burnley,Brighton,Burnley
194,28974,Everton,Brentford,Everton,Brentford
195,28975,Fulham,Liverpool,Fulham,Liverpool
196,28976,Leeds,Man Utd,Leeds,Manchester United
197,28977,Man City,Chelsea,Manchester City,Chelsea
198,28968,Newcastle,Crystal Palace,Newcastle United,Crystal Palace
199,28969,Spurs,Sunderland,Tottenham,Sunderland
200,28970,Wolves,West Ham,Wolverhampton Wanderers,West Ham
201,28980,Arsenal,Liverpool,Arsenal,Liverpool
202,28979,Bournemouth,Spurs,Bournemouth,Tottenham
203,28981,Brentford,Sunderland,Brentford,Sunderland
204,28982,Burnley,Man Utd,Burnley,Manchester United
205,28983,Crystal Palace,Aston Villa,Crystal Palace,Aston Villa
206,28978,Everton,Wolves,Everton,Wolverhampton Wanderers
207,28984,Fulham,Chelsea,Fulham,Chelsea
208,28985,Man City,Brighton,Manchester City,Brighton
209,28986,Newcastle,Leeds,Newcastle United,Leeds
210,28987,West Ham,Nott'm Forest,West Ham,Nottingham Forest
211,28988,Aston Villa,Everton,Aston Villa,Everton
212,28989,Brighton,Bournemouth,Brighton,Bournemouth
213,28990,Chelsea,Brentford,Chelsea,Brentford
214,28991,Leeds,Fulham,Leeds,Fulham
215,28992,Liverpool,Burnley,Liverpool,Burnley
216,28993,Man Utd,Man City,Manchester United,Manchester City
217,28994,Nott'm Forest,Arsenal,Nottingham Forest,Arsenal
219,28996,Spurs,West Ham,Tottenham,West Ham
218,28995,Sunderland,Crystal Palace,Sunderland,Crystal Palace
220,28997,Wolves,Newcastle,Wolverhampton Wanderers,Newcastle United
221,28999,Arsenal,Man Utd,Arsenal,Manchester United
222,28998,Bournemouth,Liverpool,Bournemouth,Liverpool
223,29000,Brentford,Nott'm Forest,Brentford,Nottingham Forest
224,29001,Burnley,Spurs,Burnley,Tottenham
225,29002,Crystal Palace,Chelsea,Crystal Palace,Chelsea
226,29003,Everton,Leeds,Everton,Leeds
227,29004,Fulham,Brighton,Fulham,Brighton
228,29005,Man City,Wolves,Manchester City,Wolverhampton Wanderers
229,29006,Newcastle,Aston Villa,Newcastle United,Aston Villa
230,29007,West Ham,Sunderland,West Ham,Sunderland
231,29008,Aston Villa,Brentford,Aston Villa,Brentford
232,29010,Brighton,Everton,Brighton,Everton
233,29009,Chelsea,West Ham,Chelsea,West Ham
234,29015,Leeds,Arsenal,Leeds,Arsenal
235,29014,Liverpool,Newcastle,Liverpool,Newcastle United
236,29012,Man Utd,Fulham,Manchester United,Fulham
237,29013,Nott'm Forest,Crystal Palace,Nottingham Forest,Crystal Palace
239,29016,Spurs,Man City,Tottenham,Manchester City
238,29011,Sunderland,Burnley,Sunderland,Burnley
240,29017,Wolves,Bournemouth,Wolverhampton Wanderers,Bournemouth
241,29019,Arsenal,Sunderland,Arsenal,Sunderland
242,29018,Bournemouth,Aston Villa,Bournemouth,Aston Villa
243,29020,Brighton,Crystal Palace,Brighton,Crystal Palace
244,29021,Burnley,West Ham,Burnley,West Ham
245,29022,Fulham,Everton,Fulham,Everton
246,29023,Leeds,Nott'm Forest,Leeds,Nottingham Forest
247,29024,Liverpool,Man City,Liverpool,Manchester City
248,29025,Man Utd,Spurs,Manchester United,Tottenham
249,29026,Newcastle,Brentford,Newcastle United,Brentford
250,29027,Wolves,Chelsea,Wolverhampton Wanderers,Chelsea
251,29028,Aston Villa,Brighton,Aston Villa,Brighton
252,29029,Brentford,Arsenal,Brentford,Arsenal
253,29030,Chelsea,Leeds,Chelsea,Leeds
254,29031,Crystal Palace,Burnley,Crystal Palace,Burnley
255,29032,Everton,Bournemouth,Everton,Bournemouth
256,29033,Man City,Fulham,Manchester City,Fulham
257,29034,Nott'm Forest,Wolves,Nottingham Forest,Wolverhampton Wanderers
259,29036,Spurs,Newcastle,Tottenham,Newcastle United
258,29035,Sunderland,Liverpool,Sunderland,Liverpool
260,29037,West Ham,Man Utd,West Ham,Manchester United
261,29038,Aston Villa,Leeds,Aston Villa,Leeds
262,29039,Brentford,Brighton,Brentford,Brighton
263,29040,Chelsea,Burnley,Chelsea,Burnley
264,29041,Crystal Palace,Wolves,Crystal Palace,Wolverhampton Wanderers
265,29042,Everton,Man Utd,Everton,Manchester United
266,29043,Man City,Newcastle,Manchester City,Newcastle United
267,29044,Nott'm Forest,Liverpool,Nottingham Forest,Liverpool
269,29046,Spurs,Arsenal,Tottenham,Arsenal
268,29045,Sunderland,Fulham,Sunderland,Fulham
270,29047,West Ham,Bournemouth,West Ham,Bournemouth
271,29049,Arsenal,Chelsea,Arsenal,Chelsea
272,29048,Bournemouth,Sunderland,Bournemouth,Sunderland
273,29050,Brighton,Nott'm Forest,Brighton,Nottingham Forest
274,29051,Burnley,Brentford,Burnley,Brentford
275,29052,Fulham,Spurs,Fulham,Tottenham
276,29053,Leeds,Man City,Leeds,Manchester City
277,29054,Liverpool,West Ham,Liverpool,West Ham
278,29055,Man Utd,Crystal Palace,Manchester United,Crystal Palace
279,29056,Newcastle,Everton,Newcastle United,Everton
